	Looping
dcy_samba_afoxe		(Afoxe_Samba_Reggae_Dance.hkx)
dcy_belly1		(Belly_Dancing_Variation_One.hkx)
dcy_belly2 		(Bellydance_Variation_2.hkx)
dcy_boogaloo		(Boogaloo.hkx)
dcy_brk_brooklyn	(Breakdance_Brooklyn_Style_Uprocking.hkx)
dcy_brk_uprock		(Breakdance_Uprock.hkx)
dcy_brk_uprock1		(Breakdance_Uprock_Var_1.hkx)
dcy_charleston1		(Dance_Swing_Charleston.hkx)
dcy_macarena		(Dancing_The_Macarena.hkx)
dcy_twerk		(Dancing_The_Twerk.hkx)
dcy_cancan		(Doing_The_Can_Can.hkx)
dcy_chicken		(Doing_The_Chicken_Dance.hkx)
dcy_hokey		(Doing_The_Hokey_Pokey.hkx)
dcy_twist		(Doing_The_Twist_Dance.hkx)
dcy_ymca		(Doing_The_Ymca_Dance.hkx)
dcy_brk_uprockend	(End_Of_Breakdance_Uprock_Var_1.hkx)
dcy_noodle		(Female_African_Noodle_Dance.hkx)
dcy_rainbow		(Female_African_Rainbow_Dance.hkx)
dcy_samba_enredo	(Female_Fast_Samba_Enredo_Variation_Two.hkx)
dcy_hip_armwave		(Female_Hip_Hop_Arm_Wave_Dancing.hkx)
dcy_hip_bodywave	(Female_Hip_Hop_Body_Wave_Dancing.hkx)
dcy_hip_ribpop		(Female_Hip_Hop_Rib_Pops_Dancing.hkx)
dcy_hip_slide		(Female_Hip_Hop_Slide_Step_Dancing.hkx)
dcy_jazz_world1		(Female_Jazz_Dancing_Around_The_World.hkx)
dcy_jazz_world2		(Female_Jazz_Dancing_Around_The_World_Loop.hkx)
dcy_rockette		(Female_Jazz_Dancing_Rockette_Kick.hkx)
dcy_square		(Female_Jazz_Square_Dancing.hkx)
dcy_rumba		(Female_Rumba_Dancing_Loop.hkx)
dcy_salsa_f		(Female_Salsa_Dancing.hkx)
dcy_samba_Ijexa		(Female_Samba_Ijexa_Break.hkx)
dcy_samba_pagode	(Female_Samba_Pagode_Variation_Five_Loop.hkx)
dcy_moonwalk		(Hip_Hop_Dance_Moonwalk.hkx)
dcy_hip_bboy		(Hip_Hop_Dancing_Bboy_Variation_One.hkx)
dcy_hip_twirl		(Hip_Hop_Dancing_Really_Twirl.hkx)
dcy_hip_shimmy		(Hip_Hop_Dancing_Shimmy.hkx)
dcy_hip_side		(Hip_Hop_Dancing_Side_To_Side.hkx)
dcy_hip_arms		(Hip_Hop_Dancing_With_Arms.hkx)
dcy_hip_listen		(Hip_Hop_Just_Listening_Dancing_Variation.hkx)
dcy_hip_quake		(Hip_Hop_Quake_Variation_1.hkx)
dcy_hip_robot1		(Robot_Hip_Hop_Dance_Variation_One.hkx)
dcy_hip_robot2		(Hip_Hop_Robot_Dance_Variation_Two.hkx)
dcy_house1		(House_Dance_Variation_3.hkx)
dcy_house2		(House_Dance_Variation_Four.hkx)
dcy_house3		(House_Dance_Variation_Two.hkx)
dcy_salsa_m1		(Male_Partner_Salsa_Variation_Five.hkx)
dcy_salsa_m2		(Male_Partner_Salsa_Variation_One.hkx)
dcy_salsa_m3		(Male_Partner_Salsa_Variation_Two.hkx)
dcy_salsa_m4		(Male_Salsa_Variation_Eight.hkx)
dcy_soul_spin		(Northern_Soul_Dance_Spin.hkx)
dcy_soul_floor		(Northern_Soul_Dance_Spin_And_Floor_Work.hkx)
dcy_soul_dip		(Northern_Soul_Dance_Spin_Dip_And_Splits.hkx)
dcy_soul_spinfloor	(Northern_Soul_Dance_Spin_On_Floor.hkx)
dcy_salsa		(Salsa_Dance_Variation_Five.hkx)
dcy_salsaclap		(Salsa_Dancing_Twirl_And_Clap.hkx)
dcy_salsaback		(Salsa_Dancing_Up_And_Back.hkx)
dcy_samba_olodum	(Samba_Dance_Olodum_Variation_Two.hkx)
dcy_samba_gandy		(Samba_Gandy_Variation_1.hkx)
dcy_cabbage		(Silly_Dancing_The_Cabbage_Patch.hkx)
dcy_sillytwist		(Silly_Dancing_The_Twist.hkx)
dcy_hip_slide		(Slide_Hip_Hop_Dance_Variation_One.hkx)
dcy_hip_snake		(Snake_Hip_Hop_Dance.hkx)
dcy_break_swipes	(Start_Breakdance_Swipes_Maneuver.hkx)
dcy_charleston_crazy	(Swing_Dance_Charleston_Crazy_Legs.hkx)
dcy_charleston2		(Swing_Dance_Charleston_Variation_2.hkx)
dcy_shim1		(Swing_Dance_Shim_Sham_Variation_1.hkx)
dcy_shim2		(Swing_Dance_Shim_Sham_Variation_2.hkx)
dcy_gangnam		(The_Popular_KPop_Dance.hkx)
dcy_timid		(Timid_Dancing.hkx)
dcy_tut1		(Tut_Hip_Hop_Dance_Variation_One.hkx)
dcy_tut2		(Tut_Hip_Hop_Dance_Variation_Two.hkx)
dcy_wave1		(Wave_Hip_Hop_Dance_Variation_One.hkx)
dcy_wave2		(Wave_Hip_Hop_Dance_Variation_Two.hkx)

	Non Looping
dcy_noloop_belly	(Belly_Dancing_Variation_Three.hkx)
dcy_noloop_booty	(Booty_Step_Hip_Hop_Dance.hkx)
dcy_noloop_runman	(Hip_Hop_Runningman_Dance.hkx)
dcy_noloop_lock		(Locking_Hip_Hop_Dance_Variation_Two.hkx)
